mp_name,gender, constit,rating,rating_democracy_total,mp_img
"Stephen Kinnock MP","0","Aberavon","103.061","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/110294.jpg.jpg"
"Guto Bebb MP","0","Aberconwy","57.3297","-7","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/35317.jpg.jpg"
"Kirsty Blackman MP","1","Aberdeen North","35.0383","-19","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/121772.jpg.jpg"
"Ross Thomson MP","0","Aberdeen South","183.039","32","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/58096.jpg.jpg"
"Andrew Bowie MP","0","West Aberdeenshire and Kincardine","196.435","23","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/148003.jpg.jpg"
"Neil Gray MP","0","Airdrie and Shotts","72.0206","-19","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/137602.jpg.jpg"
"Leo Docherty MP","0","Aldershot","-94.6825","20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/128471.jpg.jpg"
"Wendy Morton MP","1","Aldridge-Brownhills","-43.485","18","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/41314.jpg.jpg"
"Sir Graham Brady MP","0","Altrincham and Sale West","71.7651","28","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25725.jpg.jpg"
"Rt Hon Mark Tami MP","0","Alyn and Deeside","-84.5552","-19","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25263.jpg.jpg"
"Nigel Mills MP","0","Amber Valley","-87.1095","32","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/62731.jpg.jpg"
"Kirstene Hair MP","1","Angus","233.626","24","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/147916.jpg.jpg"
"Rt Hon Sammy Wilson MP","0","East Antrim","-33.1323","30","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/33564.jpg.jpg"
"Ian Paisley MP","0","North Antrim","-56.0414","30","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/33629.jpg.jpg"
"Paul Girvan MP","0","South Antrim","-87.8776","30","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/33554.jpg.jpg"
"Hywel Williams MP","0","Arfon","-251.946","-21","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25221.jpg.jpg"
"Brendan O'Hara MP","0","Argyll and Bute","28.9388","-19","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/138158.jpg.jpg"
"Rt Hon Nick Herbert MP","0","Arundel and South Downs","20.6871","17","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/40839.jpg.jpg"
"Gloria De Piero MP","1","Ashfield","246.719","-16","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/85008.jpg.jpg"
"Rt Hon Damian Green MP","0","Ashford","-84.6312","12","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25546.jpg.jpg"
"Angela Rayner MP","1","Ashton-under-Lyne","321.608","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/134574.jpg.jpg"
"Rt Hon David Lidington MP","0","Aylesbury","-25.4204","16","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25473.jpg.jpg"
"Bill Grant MP","0","Ayr, Carrick and Cumnock","-65.2065","24","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/131984.jpg.jpg"
"Dr Philippa Whitford MP","1","Central Ayrshire","-32.594","-19","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/137582.jpg.jpg"
"Patricia Gibson MP","1","North Ayrshire and Arran","-17.1461","-19","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/80615.jpg.jpg"
"Victoria Prentis MP","1","Banbury","32.9479","18","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/136496.jpg.jpg"
"David Duguid MP","0","Banff and Buchan","48.9586","19","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/147922.jpg.jpg"
"Rt Hon Dame Margaret Hodge MP","1","Barking","125.237","-22","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25573.jpg.jpg"
"Dan Jarvis MP","0","Barnsley Central","59.9798","-16","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/91415.jpg.jpg"
"Stephanie Peacock MP","1","Barnsley East","297.121","-15","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/76839.jpg.jpg"
"John Woodcock MP","0","Barrow and Furness","-138.396","-18","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/32028.jpg.jpg"
"Mr John Baron MP","0","Basildon and Billericay","-268.277","33","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25729.jpg.jpg"
"Stephen Metcalfe MP","0","South Basildon and East Thurrock","-100.498","29","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/35374.jpg.jpg"
"Rt Hon Maria Miller MP","1","Basingstoke","127.967","22","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/31595.jpg.jpg"
"John Mann MP","0","Bassetlaw","-77.7245","10","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25485.jpg.jpg"
"Wera Hobhouse MP","1","Bath","195.613","-16","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/62700.jpg.jpg"
"Tracy Brabin MP","1","Batley and Spen","210.807","-17","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/145234.jpg.jpg"
"Marsha De Cordova MP","1","Battersea","-150.881","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/118780.jpg.jpg"
"Rt Hon Dominic Grieve QC MP","0","Beaconsfield","-118.672","-7","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25630.jpg.jpg"
"Bob Stewart MP","0","Beckenham","-89.2585","30","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/83527.jpg.jpg"
"Mohammad Yasin MP","0","Bedford","-157.515","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/113926.jpg.jpg"
"Ms Nadine Dorries MP","1","Mid Bedfordshire","63.9956","31","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/41312.jpg.jpg"
"Rt Hon Alistair Burt MP","0","North East Bedfordshire","-154.396","6","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25162.jpg.jpg"
"Andrew Selous MP","0","South West Bedfordshire","-226.309","23","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25301.jpg.jpg"
"Gavin Robinson MP","0","Belfast East","122.299","29","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/121653.jpg.jpg"
"Rt Hon Nigel Dodds MP","0","Belfast North","-6.69289","30","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25658.jpg.jpg"
"Emma Little Pengelly MP","1","Belfast South","247.608","28","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/140935.jpg.jpg"
"Paul Maskey MP","0","Belfast West","-223.241","0","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/58939.jpg.jpg"
"Neil Coyle MP","0","Bermondsey and Old Southwark","222.412","-21","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/60236.jpg.jpg"
"Anne-Marie Trevelyan MP","1","Berwick-upon-Tweed","257.655","32","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/62791.jpg.jpg"
"John Lamont MP","0","Berwickshire, Roxburgh and Selkirk","-171.766","24","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/36104.jpg.jpg"
"Rushanara Ali MP","1","Bethnal Green and Bow","137.515","-21","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/58561.jpg.jpg"
"Graham Stuart MP","0","Beverley and Holderness","-116.045","26","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/31707.jpg.jpg"
"Huw Merriman MP","0","Bexhill and Battle","74.9494","25","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/72290.jpg.jpg"
"Rt Hon Sir David Evennett MP","0","Bexleyheath and Crayford","-94.5363","26","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/31706.jpg.jpg"
"Rt Hon Frank Field MP","0","Birkenhead","78.9688","18","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25534.jpg.jpg"
"Preet Kaur Gill MP","1","Birmingham, Edgbaston","124.42","-21","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/116950.jpg.jpg"
"Jack Dromey MP","0","Birmingham, Erdington","-48.1291","-19","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/47128.jpg.jpg"
"Mr Roger Godsiff MP","0","Birmingham, Hall Green","-236.691","-17","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25655.jpg.jpg"
"Rt Hon Liam Byrne MP","0","Birmingham, Hodge Hill","120.811","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/30771.jpg.jpg"
"Shabana Mahmood MP","1","Birmingham, Ladywood","-8.04144","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/72715.jpg.jpg"
"Richard Burden MP","0","Birmingham, Northfield","-132.406","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25748.jpg.jpg"
"Mr Khalid Mahmood MP","0","Birmingham, Perry Barr","-144.676","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25438.jpg.jpg"
"Steve McCabe MP","0","Birmingham, Selly Oak","-110.828","-21","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25185.jpg.jpg"
"Jess Phillips MP","1","Birmingham, Yardley","-7.03082","-21","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/106164.jpg.jpg"
"Helen Goodman MP","1","Bishop Auckland","-44.2648","-19","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/40782.jpg.jpg"
"Kate Hollern MP","1","Blackburn","66.0897","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/110372.jpg.jpg"
"Graham Stringer MP","0","Blackley and Broughton","-139.905","23","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25259.jpg.jpg"
"Paul Maynard MP","0","Blackpool North and Cleveleys","-137.048","20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/35499.jpg.jpg"
"Gordon Marsden MP","0","Blackpool South","-92.6178","-18","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25439.jpg.jpg"
"Nick Smith MP","0","Blaenau Gwent","-113.489","-12","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/72304.jpg.jpg"
"Liz Twist MP","1","Blaydon","-266.268","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/113394.jpg.jpg"
"Mr Ronnie Campbell MP","0","Blyth Valley","-180.119","19","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25669.jpg.jpg"
"Rt Hon Nick Gibb MP","0","Bognor Regis and Littlehampton","-46.4325","23","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25544.jpg.jpg"
"Mr Dennis Skinner MP","0","Bolsover","-133.369","-5","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25309.jpg.jpg"
"Sir David Crausby MP","0","Bolton North East","-69.1095","-19","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25156.jpg.jpg"
"Yasmin Qureshi MP","1","Bolton South East","128.494","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/35869.jpg.jpg"
"Chris Green MP","0","Bolton West","102.31","32","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/83505.jpg.jpg"
"Peter Dowd MP","0","Bootle","-121.095","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/115805.jpg.jpg"
"Matt Warman MP","0","Boston and Skegness","97.1152","29","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/136511.jpg.jpg"
"David Tredinnick MP","0","Bosworth","-201.413","20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25288.jpg.jpg"
"Rt Hon Tobias Ellwood MP","0","Bournemouth East","-220.778","14","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/31646.jpg.jpg"
"Conor Burns MP","0","Bournemouth West","-50.3138","32","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/31713.jpg.jpg"
"Dr Phillip Lee MP","0","Bracknell","-136.209","-6","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/40500.jpg.jpg"
"Imran Hussain MP","0","Bradford East","-57.0383","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/96076.jpg.jpg"
"Judith Cummins MP","0","Bradford South","-59.1655","-14","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/117593.jpg.jpg"
"Naz Shah MP","1","Bradford West","-31.8307","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/138070.jpg.jpg"
"James Cleverly MP","0","Braintree","-3.28282","27","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/35384.jpg.jpg"
"Chris Davies MP","0","Brecon and Radnorshire","56.9459","25","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/91138.jpg.jpg"
"Dawn Butler MP","1","Brent Central","5.58035","-18","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/40783.jpg.jpg"
"Barry Gardiner MP","0","Brent North","-95.6419","-19","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25651.jpg.jpg"
"Ruth Cadbury MP","1","Brentford and Isleworth","190.961","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/108781.jpg.jpg"
"Alex Burghart MP","0","Brentwood and Ongar","83.2541","24","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/137715.jpg.jpg"
"Mrs Madeleine Moon MP","1","Bridgend","46.0299","-21","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/35871.jpg.jpg"
"Mr Ian Liddell-Grainger MP","0","Bridgwater and West Somerset","-92.6128","28","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25472.jpg.jpg"
